time_s,altitude_m,speed_m_s,source_mach_number,source_range_km,source_flight_path_angle_deg,source_angle_of_attack_deg,source_dynamic_pressure_kPa,source_lift_load_g,source_lift_coefficient,source_drag_coefficient,source_csv_row,mach_number,freestream_temperature_K,freestream_pressure_Pa,freestream_density_kg_m3,freestream_sound_speed_m_s,freestream_dynamic_pressure_Pa,edge_pressure_Pa,edge_temperature_K,edge_density_kg_m3,edge_total_enthalpy_J_kg,edge_specific_heat_cp_J_kg_K,edge_prandtl_number,shock_conservation_error,edge_conservation_error,wall_heat_balance_error,nose_radius_knudsen_number,wall_temperature_K_fully_catalytic,wall_temperature_K_noncatalytic,heat_flux_W_m2_fully_catalytic,heat_flux_W_m2_noncatalytic,sample_status
0,1.97381824428344e-12,2722.35190420871,8,4.84351623402288e-15,22.178381920038301,1.5113438780395999e-33,4539.3599999999997,1.3685502422922401e-32,1.1298957966611899e-34,0.091162999999999994,2,7.9992571006486717,288.14999999999998,101325,1.2250033729238567,340.32559148373298,4539372.4315450918,8568165.9291428458,3170.0055790832134,9.3745616809675294,3691352.7937840545,1298.9137942308719,0.70417058469651839,3.1295024335595552e-10,6.8960986625521437e-11,2.8684840734956534e-09,6.442173934252439e-05,3095.6140259057479,3071.9264087206489,4165434.1076719873,4039394.5563500458,completed
0.062426410634170502,64.056838658050395,2715.3896782638199,7.9853118696899896,0.15717640590901,22.167848599788702,1.7814996369077101e-15,4488.4642097891001,1.59665014438383e-14,1.3331661300746999e-16,0.091418891710217498,3,7.9845384726529067,287.73363474441618,100557.84596447072,1.2174878221801557,340.08098120687202,4488476.5019503925,8471623.1408965793,3158.3282146684642,9.3044067777622281,3672005.2873837911,1298.6454237073997,0.70424504316362713,7.8480234965314315e-10,6.5595247276798687e-11,2.794936551889759e-09,6.4794178061521951e-05,3084.3052852948681,3061.0321245281834,4104899.0219999608,3982397.3977717427,completed
0.24960938553623099,254.98175671405701,2694.8526467797901,7.9420623054190402,0.62613448947320605,22.1360572399355,2.72040485728951e-16,4340.2505422579998,2.36438945706057e-15,2.0416274097511e-17,0.092172371202424594,4,7.9411999041424028,286.49268505935623,98299.244604765016,1.1952973005973326,339.35081339207471,4340262.4285195824,8190526.6216026824,3123.8542662938517,9.0982852196027348,3615204.0173443696,1297.8405362555786,0.70446361786267964,3.202566754308268e-10,5.5292192971250242e-11,2.5064873164164543e-08,6.5920141817224189e-05,3050.9249477338217,3028.8490854698402,3930059.655273905,3817539.9032628788,completed
0.56126030212617894,569.12814168445004,2661.7567081256798,7.8726267511453099,1.39937050686298,22.0824422515709,5.8907008465566597e-16,4107.3563570020797,4.8673262219153598e-15,4.4412001339403702e-17,0.0933820542837967,5,7.871623963006404,284.45099825468179,94672.756212801862,1.1594628943439953,338.14581598853164,4107367.6054568831,7748969.5896528205,3068.2144893489913,8.7686554323515349,3524512.9872929291,1296.4990922936515,0.70481199222109925,3.2895716589705773e-10,3.7458213474326206e-11,6.4376492560755756e-09,6.7825907888685965e-05,2997.0674138609456,2976.840275104692,3659814.6640250348,3562010.3514082311,completed
0.99689861727953999,1000.70665801148,2617.6885408446301,7.78073961120666,2.46504879675958,22.006089543357,1.3509329023158301e-34,3808.4448059572701,1.0412682488253099e-33,1.0246775786444201e-35,0.094982881406761199,6,7.7795558636811775,281.6464305399511,89868.576550095066,1.1115855877183169,336.48303151408652,3808455.2358093658,7182511.1251148731,2993.9853772901242,8.3344879992156606,3405369.5377178229,1294.6194587993857,0.70526679148406257,3.4046825997356255e-10,1.1273796986454329e-11,3.0137713057889057e-08,7.0556413061989039e-05,2925.2489195368503,2907.3254496896875,3321424.2817950081,3240765.7901759325,completed
1.5558526082900499,1542.1769538752999,2564.6589359683599,7.6711783112705403,3.8079134370570702,21.905778739315998,1.07087443607809e-15,3465.2748453706099,7.5641640339961701e-15,8.1807952982159295e-17,0.096891621853815002,7,7.6697861848558269,278.12828110905048,84123.143027124417,1.0536821787093698,334.384671769904,3465284.3354133731,6532566.3140334943,2904.4896778957805,7.8189386856468595,3264428.968027066,1292.1984097281095,0.70579687851087314,3.5435196617175147e-10,5.7058835326923658e-16,3.5864412119296301e-08,7.4177055784955788e-05,2838.7063535232028,2823.3121523729906,2945472.1791634266,2882097.2814954408,completed
2.23726040861736,2184.7211502712898,2504.92381483503,7.5493677665448704,5.4103914158278696,21.780040495645601,-2.62272348924173e-32,3099.6900483218901,0,0,0.091162999999999994,8,7.5477538826439918,273.9541914008438,77696.072145098558,0.98800788507440829,331.87672170857149,3099698.5371697983,5840649.4707623404,2803.5384075774846,7.2467527364766804,3108823.4368927623,1289.2343186254791,0.70636588167929037,3.7032843382918076e-10,6.5799985642924021e-16,3.9322647276640144e-08,7.8776389500330134e-05,2741.1361020993195,2728.2737447303239,2560916.6517671254,2513187.0920198783,completed
3.0400713368227801,2918.7398629291401,2440.7973678726999,7.4209550829114201,7.2537499496188502,21.627226263503498,3.10383692138702e-34,2731.1510224000799,1.7560434339055199e-33,2.4096935290907198e-35,0.101250927530545,9,7.4191196966240254,269.18689789103735,70848.077476778184,0.91688200261796926,328.98746315999637,2731158.501962652,5143670.7115241056,2695.132928800293,6.6418878952810454,2945463.6120356903,1285.7338979336985,0.70693593148861755,3.8822654750062115e-10,9.4856636912090328e-16,4.0239842443134403e-08,8.4469862027452682e-05,2636.3959540676983,2625.8877568557523,2191369.3943717973,2156640.1148582064,completed
3.9630475166439298,3734.3145204339398,2374.48258955854,7.2914107735346603,9.3191769361250305,21.445586449969799,5.29110808286008e-18,2375.17853648559,2.6249237712990001e-17,4.1418341952416899e-19,0.10350780530707,10,7.2893664224931731,263.89120656877304,63822.687638052746,0.84253793896058227,325.74608709907585,2375185.0411776919,4470987.8057526872,2583.1559821324877,6.025733662991323,2780488.0683361697,1281.7206173274324,0.70747201675927318,4.0794287308939975e-10,2.0096958916413058e-15,2.7958312095118089e-08,9.1404788595890108e-05,2528.2043131763858,2519.7577699413091,1853197.5506174702,1828555.8017094072,completed
5.0047657857101502,4621.5926469565902,2307.9393779789998,7.16570546736025,11.5886828717568,21.233351900135901,2.7459891825042199e-16,2042.7672760271601,1.18097432428148e-15,2.1666753234979599e-17,0.10569780124947201,11,7.1634751035538562,258.13147232108895,56833.309354121673,0.76701045332149964,322.18153125624923,2042772.8703738311,3843320.494324503,2471.0935205262595,5.4160863250307631,2618918.2648047963,1277.241407169892,0.70794596862681247,4.2917138008149029e-10,4.6229749254521476e-15,1.7568762538038908e-08,9.9766785595917413e-05,2419.8797212137156,2413.1555457920831,1555421.7461699927,1538205.3273759286,completed
