Time_s,Range_km,Altitude_m,Speed_mps,Mach,FlightPath_deg,Alpha_deg,DynamicPressure_kPa,LiftLoad_g,CL,CD
0,4.84351623402288e-15,1.97381824428344e-12,2722.35190420871,8,22.1783819200383,1.5113438780396e-33,4539.36,1.36855024229224e-32,1.12989579666119e-34,0.091163
0.0624264106341705,0.15717640590901,64.0568386580504,2715.38967826382,7.98531186968999,22.1678485997887,1.78149963690771e-15,4488.4642097891,1.59665014438383e-14,1.3331661300747e-16,0.0914188917102175
0.249609385536231,0.626134489473206,254.981756714057,2694.85264677979,7.94206230541904,22.1360572399355,2.72040485728951e-16,4340.250542258,2.36438945706057e-15,2.0416274097511e-17,0.0921723712024246
0.561260302126179,1.39937050686298,569.12814168445,2661.75670812568,7.87262675114531,22.0824422515709,5.89070084655666e-16,4107.35635700208,4.86732622191536e-15,4.44120013394037e-17,0.0933820542837967
0.99689861727954,2.46504879675958,1000.70665801148,2617.68854084463,7.78073961120666,22.006089543357,1.35093290231583e-34,3808.44480595727,1.04126824882531e-33,1.02467757864442e-35,0.0949828814067612
1.55585260829005,3.80791343705707,1542.1769538753,2564.65893596836,7.67117831127054,21.905778739316,1.07087443607809e-15,3465.27484537061,7.56416403399617e-15,8.18079529821593e-17,0.096891621853815
2.23726040861736,5.41039141582787,2184.72115027129,2504.92381483503,7.54936776654487,21.7800404956456,-2.62272348924173e-32,3099.69004832189,0,0,0.091163
3.04007133682278,7.25374994961885,2918.73986292914,2440.7973678727,7.42095508291142,21.6272262635035,3.10383692138702e-34,2731.15102240008,1.75604343390552e-33,2.40969352909072e-35,0.101250927530545
3.96304751664393,9.31917693612503,3734.31452043394,2374.48258955854,7.29141077353466,21.4455864499698,5.29110808286008e-18,2375.17853648559,2.624923771299e-17,4.14183419524169e-19,0.10350780530707
5.00476578571015,11.5886828717568,4621.59264695659,2307.939377979,7.16570546736025,21.2333519001359,2.74598918250422e-16,2042.76727602716,1.18097432428148e-15,2.16667532349796e-17,0.105697801249472
6.16361988995582,14.0457649058979,5571.07131962794,2242.80087252005,7.04809182841481,20.9888131654911,1.09976685290749e-33,1740.5898477313,4.05996349651958e-33,8.74174142639282e-35,0.107746826862633
7.43782296034758,16.6758181972738,6573.77332996187,2180.33820121095,6.94199747064858,20.7103924186821,2.87831054718354e-33,1471.69589189339,9.0437664901741e-33,2.30305089919512e-34,0.109595167398851
8.82541026810699,19.4663153762775,7621.32603164825,2121.46562168486,6.85001429293929,20.3967038751992,2.1497885642847e-16,1236.41449886035,5.7072280966924e-16,1.72994945550864e-17,0.111197667659843
10.3242422541798,22.4067969216124,8705.96230302291,2066.77388560758,6.77395796121716,20.046600033853,4.92778929640371e-16,1033.24237760351,1.09838084876813e-15,3.98403381077465e-17,0.112522695718995
11.932007828281,25.4887238708796,9820.46664953939,2016.5793178335,6.71496862486083,19.6592026344196,1.77667068835589e-32,859.593746573811,3.30650538666768e-32,1.44161157506087e-33,0.113550388273883
13.6462279324285,28.7052417336936,10958.0882799116,1970.97830536041,6.67362787361324,19.233918575035,9.88612822579515e-17,712.366692268394,1.528607934115e-16,8.04201312899491e-18,0.114270613061868
15.4642593634709,32.0510409115708,12112.4892832083,1930.14046356359,6.5413080851215,18.7704649875351,3.59387954700538e-34,570.875799052964,4.48915668454604e-34,2.9471036129865e-35,0.116575844310375
17.383298848715,35.5224109414373,13277.7602258081,1893.9642449592,6.41870571720413,18.2689211578218,1.74853071504317e-23,457.744986614483,1.76428356238083e-23,1.44449839945491e-24,0.118711781896775
