source_Time_s,source_Range_km,source_Altitude_m,source_Speed_mps,source_Mach,source_FlightPath_deg,source_Alpha_deg,source_DynamicPressure_kPa,source_LiftLoad_g,source_CL,source_CD,time_s,altitude_m,speed_m_s,mach_number,wall_temperature_K_fully_catalytic,wall_temperature_K_noncatalytic,heat_flux_W_m2_fully_catalytic,heat_flux_W_m2_noncatalytic
0.0,4.843516234022881e-15,1.97381824428344e-12,2722.35190420871,8.0,22.1783819200383,1.5113438780396e-33,4539.36,1.36855024229224e-32,1.12989579666119e-34,0.091163,0.0,1.97381824428344e-12,2722.35190420871,7.999257100648672,3095.614025905748,3071.926408720649,4165434.1076719873,4039394.556350046
0.0624264106341705,0.15717640590901,64.0568386580504,2715.38967826382,7.98531186968999,22.1678485997887,1.78149963690771e-15,4488.4642097891,1.59665014438383e-14,1.3331661300747001e-16,0.0914188917102175,0.0624264106341705,64.0568386580504,2715.38967826382,7.984538472652907,3084.305285294868,3061.0321245281834,4104899.0219999608,3982397.3977717427
0.249609385536231,0.626134489473206,254.981756714057,2694.85264677979,7.94206230541904,22.1360572399355,2.72040485728951e-16,4340.250542258,2.36438945706057e-15,2.0416274097511e-17,0.0921723712024246,0.249609385536231,254.981756714057,2694.85264677979,7.941199904142403,3050.9249477338217,3028.8490854698402,3930059.655273905,3817539.903262879
0.561260302126179,1.39937050686298,569.12814168445,2661.75670812568,7.87262675114531,22.0824422515709,5.89070084655666e-16,4107.35635700208,4.867326221915361e-15,4.44120013394037e-17,0.0933820542837967,0.561260302126179,569.12814168445,2661.75670812568,7.871623963006404,2997.0674138609456,2976.840275104692,3659814.6640250348,3562010.351408231
0.99689861727954,2.46504879675958,1000.70665801148,2617.68854084463,7.78073961120666,22.006089543357,1.3509329023158299e-34,3808.44480595727,1.04126824882531e-33,1.02467757864442e-35,0.0949828814067612,0.99689861727954,1000.70665801148,2617.68854084463,7.7795558636811775,2925.2489195368503,2907.3254496896875,3321424.281795008,3240765.7901759325
1.55585260829005,3.80791343705707,1542.1769538753,2564.65893596836,7.67117831127054,21.905778739316,1.07087443607809e-15,3465.27484537061,7.56416403399617e-15,8.180795298215931e-17,0.096891621853815,1.55585260829005,1542.1769538753,2564.65893596836,7.669786184855827,2838.706353523203,2823.3121523729906,2945472.1791634266,2882097.2814954408
2.23726040861736,5.41039141582787,2184.72115027129,2504.92381483503,7.54936776654487,21.7800404956456,-2.62272348924173e-32,3099.69004832189,0.0,0.0,0.091163,2.23726040861736,2184.72115027129,2504.92381483503,7.547753882643992,2741.1361020993195,2728.273744730324,2560916.6517671254,2513187.0920198783
3.04007133682278,7.25374994961885,2918.73986292914,2440.7973678727,7.42095508291142,21.6272262635035,3.10383692138702e-34,2731.15102240008,1.75604343390552e-33,2.4096935290907203e-35,0.101250927530545,3.04007133682278,2918.73986292914,2440.7973678727,7.419119696624025,2636.3959540676983,2625.8877568557523,2191369.3943717973,2156640.1148582064
3.96304751664393,9.31917693612503,3734.31452043394,2374.48258955854,7.29141077353466,21.4455864499698,5.29110808286008e-18,2375.17853648559,2.6249237712990004e-17,4.1418341952416904e-19,0.10350780530707,3.96304751664393,3734.31452043394,2374.48258955854,7.289366422493173,2528.2043131763858,2519.757769941309,1853197.5506174702,1828555.8017094072
5.00476578571015,11.5886828717568,4621.59264695659,2307.939377979,7.16570546736025,21.2333519001359,2.74598918250422e-16,2042.76727602716,1.1809743242814802e-15,2.16667532349796e-17,0.105697801249472,5.00476578571015,4621.59264695659,2307.939377979,7.163475103553856,2419.8797212137156,2413.155545792083,1555421.7461699927,1538205.3273759286
